created_at,text,entities__hashtags__text,entities__hashtags__text,
Wed Nov 04 21:28:18 +0000 2015,@the_animelover give in to idol hell. buy gems :v,,,
,,,Retail,3
,,,Job,13
,,,WhitePlains,1
Wed Nov 04 21:28:19 +0000 2015,"All right, last one before I official accept that baseball season is over.  If you haven't been… https://t.co/ASbMrxprto",,hiring,14
,,,job,13
,,,technology,1
,,,NewYork,5
Wed Nov 04 21:28:19 +0000 2015,"Climb in that cat like a lion, Ima mix this shit up like a liger.",,Veterans,4
,,,Hazard,1
,,,CFC,1
,,,BusinessMgmt,1
Wed Nov 04 21:28:19 +0000 2015,@alanmwendwa @Yombek mnatukana Muller....that's what you're doing,,Hiring,14
,,,CareerArc,8
,,,Trump,25
,,,Election,25
Wed Nov 04 21:28:20 +0000 2015,"Happy Birthday 2 one of my greatest inspirations, @iamdiddy I never thought a celebrity could inspire me and push me to do better everyday!",,News,25
,,,Sales,1
,,,Jobs,4
,,,jewelryinspiration,1
Wed Nov 04 21:28:20 +0000 2015,Everything will be packaged together and available at my first of two Colorado shows!!! https://t.co/CLJjbOz9rH,,sharingmyjourney,1
,,,makingrepscount,1
,,,NationalStressAwarenessDay,1
,,,Beautique,1
Wed Nov 04 21:28:21 +0000 2015,"#Retail #Job in #WhitePlains, NY: Seasonal Retail Selling Floor Recovery Coordinator Part Time... at Macy's Retail https://t.co/sxIL8AE9R7",Retail,MMM,1
,,Job,howepicisthealbumcovertho,1
,,WhitePlains,FAV,3
,,,RTZ,1
Wed Nov 04 21:28:23 +0000 2015,"We're #hiring! Read about our latest #job opening here: Middle Office Analyst - https://t.co/u6YNjq67RS #technology #NewYork, NY #Veterans",hiring,DivasNoMTVHits,4
,,job,colombia,1
,,technology,ThisIsAOL,1
,,NewYork,lafamiliatourworkshops,1
,,Veterans,Melville,1
Wed Nov 04 21:28:23 +0000 2015,"There is nothing better than comfortable being yourself, and finding people who love you for who you are. Thank you @esjesj @coolbeansray 💕",,Accounting,1
,,,Rochester,1
,,,IT,2
,,,WebDesign,1
Wed Nov 04 21:28:24 +0000 2015,NYC never fails to surprise me with how beautiful it can be ☀️🍂,,Brooklyn,3
,,,voteforfrida,1
,,,halloween,1
,,,nyc,5
Wed Nov 04 21:28:24 +0000 2015,@MrMustSeeTV @coutinho9 yeah very true,,terpsrising,1
,,,girl,1
,,,open,1
,,,fridaynight,1
Wed Nov 04 21:28:24 +0000 2015,https://t.co/sBOf6y4W6e @AmazingRed1 @HOGwrestling this is what we do,,MyOwnPersonalTheory,1
,,,blanycprgirls,1
,,,NYC,5
,,,orangevest,2
Wed Nov 04 21:28:24 +0000 2015,My dad took my beats to work😪🙄,,performance,3
,,,SyrianRefugees,2
,,,Highline,1
,,,twitter,1
Wed Nov 04 21:28:25 +0000 2015,JUST SAW TROYE RUN INTO THE BUILDING IM FJSKFNSNFNFNG,,Instagram,1
,,,Earnings,1
,,,RALPHLAUREN,1
,,,LetsGo,1
Wed Nov 04 21:28:25 +0000 2015,But it was either books from the Strand or kittens from the adoption stand at Union Square.,,BronGang,1
,,,umggaming,1
,,,hydrangea,1
,,,tribecarooftop,1
Wed Nov 04 21:28:25 +0000 2015,You're so beautiful 😍💖 https://t.co/tHkho4Rq7l,,mirroredvase,1
,,,cornucopiaevents,1
