created_at,text,entities__hashtags__text,entities__hashtags__text,
Wed Nov 04 21:50:57 +0000 2015,The Old Lady https://t.co/VMTnYKi2VU,,groundlings,1
,,,puppetphotobomb,1
,,,Grilled,1
,,,menu,1
Wed Nov 04 21:50:58 +0000 2015,@InglouriousBee hi,,Lèon,1
,,,nowhiring,1
,,,EastBay,1
,,,FacilitiesMgmt,1
Wed Nov 04 21:50:58 +0000 2015,"@LisaFurioso sorry, NEXT thursday, nov. 13",,crowdfunding,1
,,,indiefilm,1
,,,GetBetter,1
,,,HillaryClinton,1
Wed Nov 04 21:50:59 +0000 2015,Save hoes you niggas save hoess,,fly,1
,,,280SE,1
,,,VINTAGE,1
,,,Mercedes,1
Wed Nov 04 21:50:59 +0000 2015,"@drpolson I have no sparkles, that may make the experience more like-able, maybe with a HAND SLAP noise to go with it. @bmoreconnected",,mercedesbenz,1
,,,quality,1
,,,quantity,1
,,,strike,1
Wed Nov 04 21:50:59 +0000 2015,#OhBaby #WestSideWednesday @ Hayvenhurst and Plummer https://t.co/CNwVh1OzkE,OhBaby,jadensmith,1
,,WestSideWednesday,vectorian,2
,,,experiment,1
,,,satan,1
Wed Nov 04 21:51:00 +0000 2015,Like I'm sooooo hungry and im mad fml,,jesuschrist,1
,,,Lufthansa,1
,,,dkboz,1
,,,WebDesign,1
Wed Nov 04 21:51:00 +0000 2015,Looking forward to welcoming @LongBeachPD_CA Mobile Emergency Operations Center back to #LGBFlyIn15 this Saturday! https://t.co/k9H787IkYp,LGBFlyIn15,CulverCity,1
,,,follow,1
,,,Caribbean,1
,,,marihuana,1
Wed Nov 04 21:51:01 +0000 2015,@ANASTALYA @pintsize73 @PaulDav52131562 cat with hat every timr,,Healthcare,1
,,,NELA,1
,,,painting,1
,,,legs,1
Wed Nov 04 21:51:03 +0000 2015,mine when i see it. https://t.co/SjPrHcXAaM,,body,1
,,,design,1
,,,fitness,1
,,,dress,1
Wed Nov 04 21:51:04 +0000 2015,Harry laughing is the most beautiful person in the world  #UKVOTY1D #AMAs1D  https://t.co/bTg6bRoYSt,UKVOTY1D,shopping,1
