created_at,text,entities__hashtags__text,entities__hashtags__text,
Tue Nov 03 20:57:08 +0000 2015,I really hate when I hear my mom talking about me on the phone like why am I being mentioned over the stupid topics especially about my hair,,,
,,,college,1
,,,My3WordHappiness,1
,,,StandwithPP,1
Tue Nov 03 20:57:09 +0000 2015,"If you accidentally like my picture just keep it liked I already got notified, ik you're stalking",,GiantsChat,1
,,,LaFamilia,1
,,,autismSpeaks,1
,,,BoysMagyaNoMTVHits,4
Tue Nov 03 20:57:10 +0000 2015,I've worn the same shirt three days in a row #college,college,lateLunch,1
,,,followMYlife,1
,,,Banking,1
,,,job,17
Tue Nov 03 20:57:10 +0000 2015,Wife and kids..  #My3WordHappiness,My3WordHappiness,cfgjobs,1
,,,NewYork,6
,,,Hiring,14
,,,CareerArc,9
Tue Nov 03 20:57:10 +0000 2015,"@Vegankam Then LOL at @nyclass for citing celebrities, not vets (or journalists!).",,Birthday2015,1
,,,STEMmatters,2
,,,ChangeTheWorld,2
,,,TrueVGD,1
Tue Nov 03 20:57:11 +0000 2015,Did your brilliant mind betray you when I was aced all your tests and I didn't follow your lead?,,loveithere,1
,,,Marketing,3
,,,Job,17
,,,NewJersey,1
Tue Nov 03 20:57:12 +0000 2015,@BigActionBill @OrdioMongo @RNs_Funhouse @markmongo Sarah and Abraham were in studio earlier?,,Jobs,5
,,,ATSNY15,3
,,,NationalSandwichDay,4
,,, Ocean Parkway [NYC] to Exit 14 - Pennsylvania Avenue https://t.co/tbefP5amJI,0
Tue Nov 03 20:57:12 +0000 2015,@jessrini_ hey cheer up. Life is good sista,, Ocean Parkway [NYC] to Exit 14 - Pennsylvania Avenue https://t.co/8kKQioi4Sm,0
,,,ricura,1
,,,deliciousmeals,1
,,,living,1
Tue Nov 03 20:57:12 +0000 2015,Waiting on that one important email is the worst.,,yummiesnotyukkies,1
,,,UCL,2
,,,Gallatin,1
,,,jk,1
Tue Nov 03 20:57:13 +0000 2015,Acronym Air Force 1 is my favorite sneakers purchase so far this year,,Music,12
,,,Songs,12
,,,casting,1
,,,actors,1
Tue Nov 03 20:57:14 +0000 2015,@andrew_m_poe @Royals @Mets @MLB STATS DON'T LIE NYY w/have WON ALeast NOT BJ's=KCbeat & NYY BEST record/HOMEfield NO1GmPlayoffLOSS3-0Astros,,FundBlackFutures,4
,,,PennState,1
,,,UNHCR,3
,,,IBelong,1
Tue Nov 03 20:57:15 +0000 2015,@AshleyBurke__ where is your chill?🙃,,ShawnMendes,11
,,,Stitches,11
,,,Nursing,1
,,,LongBranch,1
Tue Nov 03 20:57:15 +0000 2015,You're so fucking ugly on the inside,,ProjectMgmt,1
,,,technology,1
,,,Veterans,3
,,,SVBFintech,2
Tue Nov 03 20:57:16 +0000 2015,@CiaraMcAvoy1 You are serious!! Prodigious art and yes keep creating so you can keep breathing 😉 Thank you for the follow X,,thepieisthepie,1
,,,GeorgeWashingtonBridge,1
,,,onlyme,1
,,,BacktoBackSeriesChamps,1
Tue Nov 03 20:57:16 +0000 2015,@Welcome2theBX @rubendiazjr @Ricky_Flores I'm flattered.,,CrownedTwice,1
,,,TheBronx,1
,,,bushwick,1
,,,earthwheatandfire,1
Tue Nov 03 20:57:17 +0000 2015,If @SpeakerRyan is serious about change he will stop wasting our taxpayer $ on pointless investigations and harassment. #StandwithPP,StandwithPP,brooklyn,1
,,,ShadowKingsMen,1
,,,FamilyStrong,1
,,,LikesAreFineToo,1
Tue Nov 03 20:57:17 +0000 2015,Who am l to judge?,,TwitterBecomesFacebook,1
,,,bulldog,1
,,,loving,1
,,,silly,1
Tue Nov 03 20:57:17 +0000 2015,Some people are so fucking retarded I swear to god,,ForestHills,1
,,,Retail,2
,,,email,1
,,,thatchefagentgirl,3
Tue Nov 03 20:57:18 +0000 2015,"""More meat=more flavor"" Quiznos doesn't know how to cook",,makeup,1
,,,Bluray,1
,,,MediaCases,1
,,,ha231,1
Tue Nov 03 20:57:18 +0000 2015,Indians!! As you fade into the night. Who will tell the story of your life. @AndyBVB @blackveilbrides,,ThePlug,1
,,,AVJobs,1
,,,Rockleigh,1
,,,Sales,1
Tue Nov 03 20:57:18 +0000 2015,I concur #GiantsChat  https://t.co/BTo4FRPlxm,GiantsChat,RoyalsParade,1
,,,CriminalJusticeReform,2
,,,ReEntry,2
,,,SaharaMediterranean,1
Tue Nov 03 20:57:19 +0000 2015,@Nancy_The_Great oh well. I better stay blocked.,,REAL,1
,,,NYC,2
,,,Capitalism,1
,,,MTASubway,1
Tue Nov 03 20:57:19 +0000 2015,got my mind right & went got it,,Bronx,1
,,,displaced,1
,,,Refugees,1
,,,RefugeeCrisis,2
Tue Nov 03 20:57:20 +0000 2015,"@MattCanada5 hey heyyy heyyy, but tell me did you sail across the sun",,newyorkcity,1
,,,usatt,1
,,,tongueouttuesday,1
,,,america,1
Tue Nov 03 20:57:20 +0000 2015,#LaFamilia #autismSpeaks Waiting for Cuzzo & Mom Duke. Hurry Up Already.. 😩😩 @ Westchester Square –… https://t.co/x8gIl0RzEM,LaFamilia,brunch,1
,,autismSpeaks,yummy,1
,,,imnotfinishingthat,1
,,,doggiebag,1
Tue Nov 03 20:57:20 +0000 2015,I will never acquire a second language i suck at dat shit,,onlyinamerica,1
,,,food,1
,,,IT,2
,,,Rochester,2
Tue Nov 03 20:57:20 +0000 2015,Ottawa. 🇨🇦 SATURDAY. Can't wait to play for you guys... It's been too long since my last… https://t.co/QO35YckhDm,,KellyJobs,1
,,,KellyServices,1
,,,feelingtired,1
,,,AntonioGuterres,2
Tue Nov 03 20:57:22 +0000 2015,@heyy_diias LOUCA DO EMOJIIIII AQUI!  #BoysMagyaNoMTVHits,BoysMagyaNoMTVHits,armedconflicts,1
,,,refugeecrisis,2
,,,climatechange,2
,,,foodinsecurity,1
Tue Nov 03 20:57:23 +0000 2015,#lateLunch Organic split pea soup with Quinoa and a fruit salad. #followMYlife at @rstylrlife… https://t.co/AgLZNLXZnz,lateLunch,MiMi,1
,,followMYlife,handpainted,1
,,,fauxmarble,1
,,,gelnail,1
Tue Nov 03 20:57:23 +0000 2015,"got this in the mail, im crying https://t.co/TNP1spSSEm",,negativespacenails,1
,,,nailart,1
,,,VanityProjects,1
,,,I84,2
Tue Nov 03 20:57:23 +0000 2015,i spent soooo much money but feel so much better,,hiking,1
,,,hike,1
