created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:38:23 +0000 2015	"@wckdstiles24 I got fired last week, so I know how you feel, 3 more days..."	null						
								
								
								
Mon Nov 02 22:38:23 +0000 2015	@GarconJon looking forward to go. Unfortunately can't as not in town	null						
								
								
								
Mon Nov 02 22:38:23 +0000 2015	My phone be dry as hell lol idk why I even have one..	"New Jersey, USA"						
								
								
								
Mon Nov 02 22:38:24 +0000 2015	@__NS13__ why did I just read I niggadale? Smh	"Washington Heights, Nyc."						
								
								
								
Mon Nov 02 22:38:24 +0000 2015	#fieldtrips https://t.co/L1lWEwhz1Y	New York / Portland / Nicosia	fieldtrips					
								
								
								
Mon Nov 02 22:38:25 +0000 2015	"Finally, Naomi gonna let me smash.  https://t.co/gWtprAXPfq"	"Ravnica, City of Guilds"						
								
								
								
Mon Nov 02 22:38:26 +0000 2015	Sea otters are horrible creatures	? n e w  y o r k  c i t y ?						
								
								
								
Mon Nov 02 22:38:26 +0000 2015	No poppin niggas w Cars smoke anymore ... Y'all ass	"North Babylon, NY"						
								
								
								
Mon Nov 02 22:38:26 +0000 2015	"LanguageLine Solutions #CustomerService #Job: Italian Interpreters (#NewYork, NY) https://t.co/y3jnkK6jw5 #interpreter #bilingual #Jobs"	"New York, NY"	CustomerService					
			Job					
			NewYork					
			interpreter					
			bilingual					
			Jobs					
Mon Nov 02 22:38:26 +0000 2015	@shondarhimes @amazonbooks YES!!! BUYING NOW!!!	"LA, NY & World Traveler"						
								
								
								
Mon Nov 02 22:38:27 +0000 2015	@FoodCriticTFC Yoham Ortiz -#Jazz & #worldmusic  #guitarist will be performing this Friday night! https://t.co/DaqQpwG4qY	221 West 38th Street	Jazz					
			worldmusic					
			guitarist					
								
Mon Nov 02 22:38:27 +0000 2015	Regardez ma localisation comme elle est stylée	France						
								
								
								
Mon Nov 02 22:38:27 +0000 2015	for friends that have been to london - how many days do you need ?	"New York, NY"						
								
								
								
Mon Nov 02 22:38:28 +0000 2015	"*on the phone* @M_RBulock : ""Remind me that if I ever want a strait answer to never call you"" ??????????"	NYUCF19						
								
								
								
Mon Nov 02 22:38:28 +0000 2015	@SiriouslySusan I feel like you know so much about me ! #siri Thanks for the Follow	"Rochester, NY "	siri					
								
								
								
Mon Nov 02 22:38:28 +0000 2015	@karmabrown30 @Mossnation88 @VernonDavis85 YEAH GIRL!! And it's a good deal too! Watch out....??	"Yardville, NJ "						
								
								
								
Mon Nov 02 22:38:29 +0000 2015	The love interest idea of Mike & myself was not topic but his locked office door was becz contractors came to fix lock & it happened on spy	Flushing NY						
								
								
								
Mon Nov 02 22:38:30 +0000 2015	"Running errands with the roommate worldofwarr #newyork #roomies #menswear #instadaily @ New York, New… https://t.co/d0fYv9EY6G"	"New York, New York"	newyork					
			roomies					
			menswear					
			instadaily					
Mon Nov 02 22:38:31 +0000 2015	"@Onision Nah we're talking to you. But you might as well be an ""inbred idiot"" as well."	who the hell cares						
								
								
								
Mon Nov 02 22:38:31 +0000 2015	"@Rob_HaneisenMW That's awesome, congrats Rob!"	"Boston, MA"						
								
								
								
Mon Nov 02 22:38:31 +0000 2015	5 Salary Negotiation Rules You Should Always Follow https://t.co/KZWIOVTXAm	"New York, NY 10018"						
								
								
								
Mon Nov 02 22:38:31 +0000 2015	When the wifi goes out on the WHOLE CAMPUS #BYE	UALBANY	BYE					
								
								
								
Mon Nov 02 22:38:31 +0000 2015	@jennmccoy ??????????????	631 Bike Life						
								
								
								
Mon Nov 02 22:38:31 +0000 2015	"New Event: ""Winter's Light"" @ Holy Trinity Lutheran Church (New York, NY) https://t.co/mGJoYDdDPw https://t.co/K0V78AOW1m"	Cleveland						
								
								
								
Mon Nov 02 22:38:32 +0000 2015	We're #hiring! Read about our latest #job opening here: Seasonal Retail Stock Part Time Early - Receiving and... - https://t.co/d3xAYfyw52	New York	hiring					
			job					
								
								
Mon Nov 02 22:38:32 +0000 2015	@TennisHarryG @abigailtennis @livetennis yes	null						
								
								
								
Mon Nov 02 22:38:33 +0000 2015	5 hours of my life I'll never get back ????????????????	null						
								
								
								
Mon Nov 02 22:38:33 +0000 2015	"Jet Pilot cocktail available tonight for $10 for happy hour. A tiki classic, and @tikiderelict is… https://t.co/nFpUvINgYD"	27 Broadway Brooklyn NY 11249						
								
								
								
Mon Nov 02 22:38:33 +0000 2015	tyvm @AceofClubsGolf @brendatomczak @SandraGuandique @swydersk @FORCES313 @gloriawalthour 4the #FAV & #RT https://t.co/CwRxRkvYNj	"Queens, NY"	FAV					
			RT					
								
								
								
								
Mon Nov 02 22:38:33 +0000 2015	?? Chill https://t.co/EpxJoHkSHh	"Fort Drum, NY"						
								
								
								
Mon Nov 02 22:38:34 +0000 2015	@unxthical All of the above? I agree	PSN: Slime21446 @Jason21446						
								
								
								
Mon Nov 02 22:38:33 +0000 2015	Been back in NYC a few hours and already hit with who dis. Why did I get on that plane idk https://t.co/R3Mkfs5xqz	"ÜT: 40.693115,-73.921273"						
								
								
								
Mon Nov 02 22:38:35 +0000 2015	@AngelIGhada  ???????????? https://t.co/FniuMgRWIT	null						
								
								
								
								
Mon Nov 02 22:38:36 +0000 2015	"@OnlyPartlySane I'm all ears, lovely Ms. Rapp! lol"	United States						
								
								
								
Mon Nov 02 22:38:36 +0000 2015	"Esos like safandose, y dique no me soporta pero vive metia en mi perfil??????"	NEW YORK CITY						
								
								
								
Mon Nov 02 22:38:36 +0000 2015	regrann @dstegner119 *SOUNDS AMAZING*** regrann from cartelmods -  Zucco - A sweet cream filled… https://t.co/DjgNqqbhPV	long island new york						
								
								
								
Mon Nov 02 22:38:38 +0000 2015	When men wear tailored clothing >	"GCO| Manhattan, NYC"						
								
								
								
Mon Nov 02 22:38:39 +0000 2015	When colleges look at my college essay https://t.co/dJxEiwAqGM	null						
								
								
								
Mon Nov 02 22:38:39 +0000 2015	It's a Dilshad Akhtar type of day.	null						
								
								
								
Mon Nov 02 22:38:40 +0000 2015	this is so fucking stupid ?? https://t.co/p0LqUESqkq	2/7 of MDE follow						
								
								
								
Mon Nov 02 22:38:40 +0000 2015	49ers find a way to ruin my day even when they aren't playing.. https://t.co/6WkHVYQypI	null						
								
								
								
Mon Nov 02 22:38:41 +0000 2015	"@ArlingtonSteve @JohnFugelsang Are you stupid. Highest crime rates. St Louis, Atlanta, Red States."	null						
								
								
								
Mon Nov 02 22:38:41 +0000 2015	Smooth jazz has been blaring in the courtyard for hours now? Where did it come from?? Make it stop?!	NYU						
								
								
								
Mon Nov 02 22:38:41 +0000 2015	It's just piece of my next video on #YouTube  Check it out guys. On my profile you can see link of… https://t.co/DcymFzKTjP	?????? ???	YouTube					
								
								
								
Mon Nov 02 22:38:41 +0000 2015	"Some guy wrote me a note saying ""do you want to study crit"	"New York, NY"						
								
								
								
Mon Nov 02 22:38:42 +0000 2015	@WooorIdStar @GissellBee	long island ny						
								
								
								
Mon Nov 02 22:38:43 +0000 2015	Sometimes I feel like I should be on a reality tv show.	"New York, USA"						
								
								
								
Mon Nov 02 22:38:43 +0000 2015	#Halloween2015 #helsinkihalloween #helsinkihudson https://t.co/w5x1uGNxFy	Hudson NY	Halloween2015					
			helsinkihalloween					
			helsinkihudson					
								
Mon Nov 02 22:38:43 +0000 2015	"""Careers for the Future:"" be a steroid-pumping freak and get the girl or be a medical professional… https://t.co/bWPfvDQhQO"	Brooklyn						
								
								
								
Mon Nov 02 22:38:44 +0000 2015	@The_Wise_Turtle swear he from NYC. ????. Boy from the boondocks	"Manhattan, NY"						
								
								
								
Mon Nov 02 22:38:44 +0000 2015	@StephhShadyy poor us ??	? n e w  y o r k  c i t y ?						
								
								
								
Mon Nov 02 22:38:47 +0000 2015	"""See No Boots!"" https://t.co/LuUVsKC5qQ"	New York City						
								
								
								
Mon Nov 02 22:38:47 +0000 2015	Ok...one last post. Have a stellar day y'all!!!!!! ?????????????????? #beastcoast #bongbeauties… https://t.co/2DZTGjRmOG	"Washington, DC"	beastcoast					
			bongbeauties					
								
								
Mon Nov 02 22:38:47 +0000 2015	@McDraft2 i have something funny to say but i just can't put my finger on it	NYU 						
								
								
								
Mon Nov 02 22:38:49 +0000 2015	??????	null						
								
								
								
Mon Nov 02 22:38:48 +0000 2015	?????????? go watch @ConnorFranta's  new video https://t.co/RXWC3oU3LB give it a big thumbs up and subscribe  pls check dms? ?????????? x24	4/6 + troye						
								
								
								
Mon Nov 02 22:38:49 +0000 2015	brittney is a crazy name for a golden retriever	"Connecticut, USA"						
								
								
								
Mon Nov 02 22:38:50 +0000 2015	I parked so far in West Virginia to get to class and he cancelled	NY						
								
								
								
Mon Nov 02 22:38:50 +0000 2015	New Mick Jenkins album is fuego??	null						
								
								
								
Mon Nov 02 22:38:50 +0000 2015	@joelvenr @Eleniita_12 Ella es muy tranquila pero no la quiero ver enojada no.	NJ 						
								
								
								
Mon Nov 02 22:38:50 +0000 2015	@LiliBayo woah really? What happened?	"San Francisco, CA"						
								
								
								
Mon Nov 02 22:38:52 +0000 2015	@caileygraceee bc I feel like you would enjoy this just as much as I do  https://t.co/jUY47YyUpm	null						
								
								
								
Mon Nov 02 22:38:52 +0000 2015	Opened up a two pack of starburst and got two yellows. #FuckYouMonday	"Queens/ Long Island, NY "	FuckYouMonday					
								
								
								
Mon Nov 02 22:38:52 +0000 2015	"OfficeTeam #Clerical #Job: Receptionist (#NEWYORK, NY) https://t.co/Vkf9IC0Qj2 #OfficeTeam #Jobs #Hiring"	"Menlo Park, CA"	Clerical					
			Job					
			NEWYORK					
			OfficeTeam					
			Jobs					
			Hiring					
Mon Nov 02 22:38:53 +0000 2015	what is even going on	null						
								
								
								
Mon Nov 02 22:38:53 +0000 2015	@runnerjang Was it a race or a training run Jan?	"Boston, MA"						
								
								
								
Mon Nov 02 22:38:53 +0000 2015	What yall think now? https://t.co/xlaGHqC4sB	"Brooklyn, NY"						
								
								
								
Mon Nov 02 22:38:53 +0000 2015	@fran845ny spaghetti spaghetti	new yaltz new pork						
								
								
								
Mon Nov 02 22:38:54 +0000 2015	Lmfaooo nigga just did some GTA shit just now on 181 getting chased by the boys	Uptown						
								
								
								
Mon Nov 02 22:38:54 +0000 2015	The only picture I have from yesterday's shenanigans...?????? #bouncemademedoit ??????????? #Sundayfunday… https://t.co/iU9QnFBHoD	null	bouncemademedoit					
			Sundayfunday					
								
								
Mon Nov 02 22:38:54 +0000 2015	where is eddie murphy what has he been doing why is he hiding	NYC						
								
								
								
Mon Nov 02 22:38:55 +0000 2015	?? https://t.co/fkyFpC4gqU	"ÜT: 40.816871,-73.852205"						
								
								
								
Mon Nov 02 22:38:56 +0000 2015	Bisous de NYC guys	France						
								
								
								
Mon Nov 02 22:38:59 +0000 2015	???? ???????? ?? ?????? ?????? ???? ???? ??? ??? ?????? ???? ???/????/???? ???? ?????? ????? ?????? ?? ?? ??? ?????? ???? 4.3 ??????:|	Iran						
								
								
								
Mon Nov 02 22:38:59 +0000 2015	I know mane trying to https://t.co/bLVoI46nmE	Tampa ?? NY						
								
								
								
Mon Nov 02 22:38:59 +0000 2015	"I'm at Dodge YMCA in Brooklyn, NY https://t.co/bxt9akI43y"	"Brooklyn, NY"						
								
								
								
Mon Nov 02 22:39:00 +0000 2015	WHY https://t.co/rWceVQ96nV	WB						
								
								
								
Mon Nov 02 22:39:00 +0000 2015	I love Infiniti.. But this Subi is truly calling my name..	null						
								
								
								
Mon Nov 02 22:39:03 +0000 2015	I dont understand some people	null						
								
								
								
Mon Nov 02 22:39:04 +0000 2015	Stupid  https://t.co/GEfcFoheZ5	"North Babylon, NY"						
								
								
								
Mon Nov 02 22:39:04 +0000 2015	@vernoix https://t.co/824a65ouLf	null						
								
								
								
								
Mon Nov 02 22:39:04 +0000 2015	"New Event: ""Winter's Light"" @ Holy Trinity Lutheran Church (New York, NY) https://t.co/IZxUTYhkLg https://t.co/TjHqw8oeAK"	"New York, NY"						
								
								
								
Mon Nov 02 22:39:04 +0000 2015	@coasterbrockman @Stevoptweets Stephen didn't give me hugs so he can't have any??	sc: carapherneleah 						
								
								
								
Mon Nov 02 22:39:05 +0000 2015	It's the most wonderful time of the day @ Bleecker Street https://t.co/Ya3n3vhRV9	New Dork City						
								
								
								
Mon Nov 02 22:39:05 +0000 2015	@ShirlzRene im great beautiful. How r u?  Im heading out to vacation in a few days. Would love to see u end of nov. Whats happening??? Xxoo	New York						
								
								
								
Mon Nov 02 22:39:06 +0000 2015	@butthead_buddha HEY YOURE BACK	"Long Island, New York"						
								
								
								
Mon Nov 02 22:39:06 +0000 2015	What could it be? Get well soon @91Tavares! https://t.co/yH2e3Uz3so	"North Bellmore, NY"						
								
								
								
Mon Nov 02 22:39:06 +0000 2015	Some gu wrote me a note saying do you wanna study critical theory together. No	"New York, NY"						
								
								
								
Mon Nov 02 22:39:06 +0000 2015	@lasciarrino I just saw a picture of you in Hoboken looking so hot. Wanna be friends?	United States						
								
								
								
Mon Nov 02 22:39:06 +0000 2015	I just need something exciting in my life	null						
								
								
								
Mon Nov 02 22:39:07 +0000 2015	"NEW SINGLES: BBass x NDL Release ""Dead Presidents II"" & ""Hotline Bling!""  https://t.co/IKSmCxsRxb @bbasstheillest @TeamNDL"	"New York, NY"						
								
								
								
Mon Nov 02 22:39:07 +0000 2015	Sick as a dog	"Hamburg, NY"						
								
								
								
Mon Nov 02 22:39:07 +0000 2015	There's a shark drinking my sangria ?? @ Pocket Bar NYC https://t.co/j3ZedTiOMv	New York City						
								
								
								
Mon Nov 02 22:39:07 +0000 2015	"View of a ""pit girl"" - eyes forward, or eyes up... ???? #lovemysport #SailorGirl #adventures… https://t.co/tVYdImqPCj"	On the water...	lovemysport					
			SailorGirl					
			adventures					
								
Mon Nov 02 22:39:08 +0000 2015	Me ?? https://t.co/romjhKJtHc	null						
								
								
								
								
								
Mon Nov 02 22:39:08 +0000 2015	Starbucks #Hospitality #Job: Shift Supervisor (US) https://t.co/cObXJtP3Hw #Veterans #Jobs #Hiring #CareerArc	"New York, NY"	Hospitality					
			Job					
			Veterans					
			Jobs					
			Hiring					
			CareerArc					
Mon Nov 02 22:39:08 +0000 2015	@erikaeleniak Hell~arious ??~>	null						
								
								
								
Mon Nov 02 22:39:08 +0000 2015	??????????(?	New York						
								
								
								
Mon Nov 02 22:39:09 +0000 2015	Lmaoooooooooo  https://t.co/4UG2t5Zjo8	null						
								
								
								
								
								
Mon Nov 02 22:39:10 +0000 2015	Shoutout to my mom for taking me to the mall for no reason	null						
								
								
								
Mon Nov 02 22:39:11 +0000 2015	Me in a nutshell  https://t.co/nRggCTcaLm	null						
								
								
								
								
Mon Nov 02 22:39:11 +0000 2015	Ehhh fuck it	somewhere in NY						
								
								
								
Mon Nov 02 22:39:13 +0000 2015	I seriously need to vent but idk to who or how	Back&Forth between DC&NY						
								
								
								
Mon Nov 02 22:39:13 +0000 2015	Me rn https://t.co/9kdsbqRnxh	burg						
								
								
								
Mon Nov 02 22:39:14 +0000 2015	I can't wait till Christmas	null						
								
								
								
Mon Nov 02 22:39:14 +0000 2015	@SelfieMadeBoy FABULOUS! Hope you had a fun visit...	"iPhone: 40.765488,-73.991585"						
								
								
								
Mon Nov 02 22:39:15 +0000 2015	"miss her already!  #miasorella @ New York, New York https://t.co/cOMMq1bEfx"	NYC	miasorella					
								
								
								
Mon Nov 02 22:39:15 +0000 2015	#newyork - #manhattan ?? @_fearlessocity #love #greatesttravels #wanderlust #infashion #fashion… https://t.co/IoSY9EiqkR	Sydney Australia	newyork					
			manhattan					
			love					
			greatesttravels					
			wanderlust					
			infashion					
			fashion					
Mon Nov 02 22:39:15 +0000 2015	@WealthyProspect: There's something funky and useful about collecting vintage frogs! @etsy #frogs #flowerfrog https://t.co/2GTb8qeMsr	"New York, NY"	frogs					
			flowerfrog					
								
								
Mon Nov 02 22:39:16 +0000 2015	Can't wait to get home and lay in my bed	"Commack, NY"						
								
								
								
Mon Nov 02 22:39:17 +0000 2015	Sick and tired of being sick and tired	bh 						
								
								
								
Mon Nov 02 22:39:17 +0000 2015	@JerseyJess33 It's not a bother at all. I'm glad to help!	"North Haven, CT"						
								
								
								
Mon Nov 02 22:39:19 +0000 2015	@cam_shaft_rrt @AltraRunning @PROCompression @ClifBar @hammernutrition Congrats Cam! Quite the accomplishment! Which marathon?	"Boston, MA"						
								
								
								
								
Mon Nov 02 22:39:19 +0000 2015	Ily babe and have an amazing birthday ???????????????????????????????????? @katy_5591 https://t.co/2RUo17huL6	null						
								
								
								
Mon Nov 02 22:39:20 +0000 2015	Me and Jessica got wine drunk at 4 pm and watched a depressing Netflix movie when did we become 40?	"Queens, NY"						
								
								
								
Mon Nov 02 22:39:20 +0000 2015	"I'm at 121 Fulton Street - @paigegroupny in New York, NY https://t.co/Ps9ORK0eoz"	EWR | JFK | ACC ... Global 						
								
								
								
Mon Nov 02 22:39:21 +0000 2015	deal to swap managers w/ arab league side and have no one aware of it. I realized we didn't have Matheny w/ us but no one did anything becz	Flushing NY						
								
								
								
Mon Nov 02 22:39:21 +0000 2015	It's only 5 but I feels like 8	Dyckman 						
								
								
								
Mon Nov 02 22:39:21 +0000 2015	Happy birthday!!???? @dwfzx	null						
								
								
								
Mon Nov 02 22:39:23 +0000 2015	A World of Spin and the Metaphysics of Ping Pong | Reality Sandwich https://t.co/2AoJJZyMZp … #realitysandwich via @realitysandwich	New York City	realitysandwich					
								
								
								
Mon Nov 02 22:39:23 +0000 2015	Date ideas: you get high AF & do nothing but stay in bed all day.	United States						
								
								
								
Mon Nov 02 22:39:24 +0000 2015	I woulda really bugged out .. Like I got mad watching this smh lol  https://t.co/9byC1J3ppN	GrimeyAssNY						
								
								
								
Mon Nov 02 22:39:25 +0000 2015	going to chick-fil-a	laters baby 						
								
								
								
Mon Nov 02 22:39:25 +0000 2015	"Rumors have it 49ers are trying to get Jimmy Garoppolo from New England, offered NE 2nd Round pick, NE wants a 1st round pick."	"New Jersey, USA"						
								
								
								
Mon Nov 02 22:39:25 +0000 2015	Now Playing Paper Planes Mixtape by Ill Def Beats via @DatPiff for Android https://t.co/uYKImWLuhK	Harlem						
								
								
								
Mon Nov 02 22:39:27 +0000 2015	WE ARE READY FOR MONDAY NIGHT FOOTBALL TONIGHT!! 7 HUGE HD SCREENS ON THE 1ST FLOOR! BEER SPECIALS /… https://t.co/kNRdIoo6eu	"South Ozone Park, NY"						
								
								
								
Mon Nov 02 22:39:27 +0000 2015	Tomorrow is the last day to get this amazing sandwich at @blacktreebk????  Created by the lovely… https://t.co/ElOqFkBLeX	NYC 						
								
								
								
Mon Nov 02 22:39:28 +0000 2015	@terrycollins10 Mr Collins remember KC lost WS in 2014 why can't METS with u at helm repeat what KC dd this yr + win WS in 2016 god willing!	null						
								
								
								
Mon Nov 02 22:39:28 +0000 2015	@ChevyRoam down to scrim you @10	null						
								
								
								
Mon Nov 02 22:39:29 +0000 2015	Nice little details in the #weworkdumboheights bathroom.   #WeWork #startup #brooklyn #coworkingspace… https://t.co/DRPyt1GE3I	"Brooklyn, NY"	weworkdumboheights					
			WeWork					
			startup					
			brooklyn					
			coworkingspace					
Mon Nov 02 22:39:29 +0000 2015	"Will bet my life savings @MenInBlazers don't even make a snobby joke about melo owning @PRFootballClub, let alone ask him about it."	New York and beyond.						
								
								
								
Mon Nov 02 22:39:30 +0000 2015	Lol  https://t.co/fvN4rMOWMx	Worldwide 						
								
								
								
Mon Nov 02 22:39:30 +0000 2015	@jensen_marisa @That_Irishman and now I'm vomiting	"New York, NY"						
								
								
								
Mon Nov 02 22:39:31 +0000 2015	@Zachpowdy happy bday my man. Better pull a lot of bitches in your new whip	null						
								
								
								
Mon Nov 02 22:39:31 +0000 2015	I get paranoid too easily	"Eastchester, New York"						
								
								
								
Mon Nov 02 22:39:31 +0000 2015	"Compliance Examiner - Member Regulation, Sales Practice - Jericho, NY - FINRA: (#Jericho, NY) https://t.co/Yb7nhtZwGA #Finance #Job #Jobs"	New York	Jericho					
			Finance					
			Job					
			Jobs					
Mon Nov 02 22:39:32 +0000 2015	I ready to chip chip chip chip chip !! ??????	"Queens, NY"						
								
								
								
Mon Nov 02 22:39:32 +0000 2015	@amandabubak me since 8th grade	"New York, USA"						
								
								
								
Mon Nov 02 22:39:32 +0000 2015	@kevininzunza31 Irish the ninth best team in college football 18t in basketball only trash team is the Knicks	Long Beach NY						
								
								
								
Mon Nov 02 22:39:33 +0000 2015	@morgan_walker11 @Panthers 6-1	"Manhattan, NY"						
								
								
								
Mon Nov 02 22:39:33 +0000 2015	"Shucks.  I heart halloween.  Barkeep, a round on me  #janlarsenart #theegohaslanded @ The Standard Grill https://t.co/VgGOFoEGYP"	"New York, NY"	janlarsenart					
			theegohaslanded					
								
								
Mon Nov 02 22:39:33 +0000 2015	He sucks. That's not hating. That's being realistic. Kobe is just not good anymore.  https://t.co/7get6utjBP	"Queens, NY"						
								
								
								
Mon Nov 02 22:39:36 +0000 2015	"#TheArtofJustice looks like: Nina Simone   ""An artist's duty, as far as I'm concerned, is to reflect… https://t.co/ZmvIkCxcn3"	NYC	TheArtofJustice					
								
								
								
Mon Nov 02 22:39:37 +0000 2015	Post the sit or start em on Twitter https://t.co/9HLkeM49Go	Tampa ?? NY						
								
								
								
Mon Nov 02 22:39:38 +0000 2015	"OOMF, throwing that flame at OOMF ????????????????????????????"	NY 						
								
								
								
Mon Nov 02 22:39:38 +0000 2015	Screaming  https://t.co/IpORr4Nfj6	null						
								
								
								
Mon Nov 02 22:39:38 +0000 2015	"tomorrow, my legacy continues! WrestleMania presale baby!!!!"	"East Meadow, NY"						
								
								
								
Mon Nov 02 22:39:39 +0000 2015	@NYCMusicPlaces Yoham Ortiz -#Jazz & #worldmusic  #guitarist will be performing this Friday night! https://t.co/DaqQpwG4qY	221 West 38th Street	Jazz					
			worldmusic					
			guitarist					
								
Mon Nov 02 22:39:39 +0000 2015	Mi seh if yuh was yuh lungs! ??????	"I suffered,I learned,I changed"						
								
								
								
Mon Nov 02 22:39:39 +0000 2015	@Southern_Philly the food at the linc is decent too	NYU 						
								
								
								
Mon Nov 02 22:39:40 +0000 2015	I miss this little secret spot https://t.co/noyJ7dRzVa	"Putnam, CT"						
								
								
								
Mon Nov 02 22:39:41 +0000 2015	Look what @owlandthistle now carries!! @drunkbakers caramel corn will also be going in all our… https://t.co/kimXgsn8bx	"833 Franklin Ave, Brooklyn, NY"						
								
								
								
Mon Nov 02 22:39:41 +0000 2015	So much homework	New York						
								
								
								
Mon Nov 02 22:39:41 +0000 2015	@ljzp Congrats Lauren! Which marathon?	"Boston, MA"						
								
								
								
Mon Nov 02 22:39:42 +0000 2015	"My reaction to everything lately is just like ""okay"" ??"	"Queens, NY"						
								
								
								
Mon Nov 02 22:39:42 +0000 2015	"Star Wars ""DEATH STAR"" bho https://t.co/rir7j2p8wj"	"New York, NY"						
								
								
								
Mon Nov 02 22:39:43 +0000 2015	I give up #Sad49erFans https://t.co/6JBDJA2fsZ	"New York, NY"	Sad49erFans					
								
								
								
Mon Nov 02 22:39:44 +0000 2015	The return ferry to Manhattan from Staten Island #nyc ?????? https://t.co/DJGIEwzFeL	"York, UK"	nyc					
								
								
								
Mon Nov 02 22:39:45 +0000 2015	Vernon Davis dyin to go to a championship team	"New York, USA"						
								
								
								
Mon Nov 02 22:39:45 +0000 2015	"@Adelirose I'm talking principles. American ""Indians"" was one example.Short of extermination, people need to have land on which to live. No?"	"Manhattan, NY"						
								
								
								
Mon Nov 02 22:39:45 +0000 2015	@guncop7  ??? ??? ???? :(( https://t.co/1RHLlX30RF	null						
								
								
								
								
Mon Nov 02 22:39:46 +0000 2015	They only thing wavy about the winter is that we sleep a hour more	Dyckman 						
								
								
								
Mon Nov 02 22:39:47 +0000 2015	??oh my god. Is right.  https://t.co/oo21ui5rQB	"Manhattan, NY"						
								
								
								
Mon Nov 02 22:39:47 +0000 2015	Mexico’s+Sourcing+Proposition+Gets+a+Closer+Look+in+Chicago https://t.co/KVemzycizy	The Americas 						
								
								
								
Mon Nov 02 22:39:48 +0000 2015	"Can you recommend anyone for this #job? Retail Store Positions - https://t.co/SSJKyQLIOq #NewYork, NY #Retail #Hiring #CareerArc"	"New York, NY"	job					
			NewYork					
			Retail					
			Hiring					
			CareerArc					
Mon Nov 02 22:39:49 +0000 2015	I actually watched that video on World star a couple of weeks ago it's disgusting actually she was bugging	null						
								
								
								
Mon Nov 02 22:39:50 +0000 2015	Stopped by CBS Sports yesterday when I was on Last Week Tonight with iamjohnoliver! I'm glad I could… https://t.co/KL6hGvGvME	"Los Angeles, CA"						
								
								
								
Mon Nov 02 22:39:50 +0000 2015	This whole interaction is hilarious lmfaooooooo https://t.co/hFDPas8XDq	Gotham						
								
								
								
Mon Nov 02 22:39:50 +0000 2015	"Want to work in #NewYork, NY? View our latest opening: https://t.co/Z26iPyjept #ProjectMgmt #Veterans #Job #Jobs #Hiring #CareerArc"	"New York, NY"	NewYork					
			ProjectMgmt					
			Veterans					
			Job					
			Jobs					
			Hiring					
			CareerArc					
Mon Nov 02 22:39:50 +0000 2015	Viacom Will Tap @TiVo Data For Advertisers. Read more on our partnership: https://t.co/AQX2TxPMmn via @Variety	165+ countries and territories						
								
								
								
Mon Nov 02 22:39:51 +0000 2015	tyvm: @trthi16 @Hollowz45 @thomasclark92 4the #FAV & #RT + @hea213 4the #FAv	"Queens, NY"	FAV					
			RT					
			FAv					
								
Mon Nov 02 22:39:52 +0000 2015	@nycmusicians Yoham Ortiz -#Jazz & #worldmusic  #guitarist will be performing this Friday night! https://t.co/DaqQpwG4qY	221 West 38th Street	Jazz					
			worldmusic					
			guitarist					
								
Mon Nov 02 22:39:53 +0000 2015	Graduated from a private college and all I got to show for it is a peice of paper and a house less mortgage #marist	The happiest place	marist					
								
								
								
Mon Nov 02 22:39:53 +0000 2015	Sorry not sorry >>	Long Island						
								
								
								
Mon Nov 02 22:39:54 +0000 2015	"bullshit, that's what"	null						
								
								
								
Mon Nov 02 22:39:54 +0000 2015	@falloutlsd alright.   I need a new chain for my wallet.	"Long Island,NY"						
								
								
								
Mon Nov 02 22:39:54 +0000 2015	@miss_manners_62 OMG! No more tearjerkers! ??	New York						
								
								
								
Mon Nov 02 22:39:55 +0000 2015	@lishubert where are you guys meeting for a drink?	"Chattanooga, TN"						
								
								
								
Mon Nov 02 22:39:55 +0000 2015	"@LucilleNegan22 well, you never know. Give it maybe a day..????????"	"Barryville, New York"						
								
								
								
Mon Nov 02 22:39:55 +0000 2015	Sad I'm not gonna get to see a will away tonight but I know they'll kill it :'-((((	lon guy-land						
								
								
								
Mon Nov 02 22:39:57 +0000 2015	"What is deep, it's deeper than sea.. So only it knows, this kind of vibe gets stronger in time."	"New York, NY"						
								
								
								
Mon Nov 02 22:39:57 +0000 2015	I don't wanna talk about it / I don't get it either  https://t.co/11Q6lF9ITH	"New York, NY"						
								
								
								
Mon Nov 02 22:39:58 +0000 2015	"@gregauman so I saw fragel went to IR, do bucs have a spot or did I miss the report on this transaction??"	null						
								
								
								
Mon Nov 02 22:39:58 +0000 2015	<shine> To live in love is to live loving never ending questions ?? #lettheadventurebegin @ The High Line https://t.co/7LQLgkue78	null	lettheadventurebegin					
								
								
								
Mon Nov 02 22:39:58 +0000 2015	With the fabulous @MikeyMusto at the screening party of the @logotv show #CocktailsAndClassics with… https://t.co/uTM82zhePX	New York City	CocktailsAndClassics					
								
								
								
Mon Nov 02 22:39:58 +0000 2015	Veron davis is done Peyton is done shut up ppl	null						
								
								
								
Mon Nov 02 22:39:59 +0000 2015	driving to port Jeff just for chick-fil-a	laters baby 						
								
								
								
