created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:37:09 +0000 2015	Too funny  https://t.co/kKjokH7m9F	"Manhattan, NY"			bouncemademedoit	1		
					Sundayfunday	1		
					lovemysport	1		
					SailorGirl	1		
Mon Nov 02 22:37:09 +0000 2015	Me parezco más a Moe. @____frost	Alyasira 			adventures	1		
					miasorella	1		
					manhattan	1		
					love	1		
Mon Nov 02 22:37:10 +0000 2015	I need to cop amber roses book	null			greatesttravels	1		
					wanderlust	2		
					infashion	1		
					fashion	1		
Mon Nov 02 22:37:10 +0000 2015	"Join the 24 Seven team! See our latest #BusinessMgmt #job opening here: https://t.co/qrkK2wAJ62 #NewYork, NY #Hiring #CareerArc"	"New York, NY"	BusinessMgmt		frogs	1		
			job		flowerfrog	1		
			NewYork		realitysandwich	1		
			Hiring		weworkdumboheights	1		
			CareerArc		WeWork	1		
Mon Nov 02 22:37:13 +0000 2015	@bcimfullofhope  ??? ???? ?? ???? :( https://t.co/VolyLftomr	null			startup	1		
					brooklyn	2		
					coworkingspace	1		
					Jericho	1		
					Finance	1		
Mon Nov 02 22:37:13 +0000 2015	Arthritis mami.	"New York, NY"			janlarsenart	1		
					theegohaslanded	1		
					TheArtofJustice	1		
					Sad49erFans	1		
Mon Nov 02 22:37:16 +0000 2015	yo figger @JackKavovit	"New Milford, CT"			ProjectMgmt	1		
					marist	1		
					lettheadventurebegin	1		
					CocktailsAndClassics	1		
Mon Nov 02 22:37:16 +0000 2015	Police should also boycott jamie foxxxxxx & whatever he is involved in 4 his support of COP HATER tarrantino. Don't underwrite him AMERICA!	Woodstock NY Public Library			TheCreativeGroup	1		
					birthday	1		
					thirtyone	1		
					SungwooMagic	1		
Mon Nov 02 22:37:16 +0000 2015	"#JebNoFilter? The #GOP found their unfiltered candidate. It's the ""Mexicans are rapists"" guy. You are not the guy, @JebBush. #JebCanFixIt"	"Brooklyn, Baby!"	JebNoFilter		mcm	1		
			GOP		trynagetmefat	1		
			JebCanFixIt		rawdeal	1		
					BOD	1		
Mon Nov 02 22:37:17 +0000 2015	@tylart18 ok	ny 			crazybeautiful	1		
					avenue	1		
					amberrose	1		
					Paris	1		
Mon Nov 02 22:37:17 +0000 2015	"Uh oh, seems like the first list that dropped is a fake, that just seems like it discredits the actual list. Well played KKK. #OpKKK"	"Based World, NYC."	OpKKK		content	1		
					oldschoolfunk	1		
					Sales	1		
					Follow	1		
Mon Nov 02 22:37:17 +0000 2015	It’s crazy that it has been 5 years. It still feels so raw.	NEW YORK			QVC	1		
					nofilter	1		
					WWBVS	1		
					LatinaLifestyleBlogger	1		
Mon Nov 02 22:37:18 +0000 2015	@IlladelphAC they matter but watching them play basketball should be enough in this case	"Queens, NY"			commercestreet	1		
					westvillage	1		
					fallishere	1		
					LGM	1		
Mon Nov 02 22:37:18 +0000 2015	Martes 9pm Méx / 10 ET / 12 BsAs en vivo desde Doha. Copa del Mundo @FINA1908 ?? por ESPN3 junto a @CristyMillán para ver a  @HosszuKatinka	null			QueensEverydayAllDay	1		
					afternoonsnack	1		
					deananddeluca	1		
					yummy	1		
Mon Nov 02 22:37:18 +0000 2015	Deadass went behind Jenna ???? https://t.co/qWCKFE1pOr	null			olives	1		
					walkhard	1		
					whitney	1		
					meatpacking	1		
					travel	1		
Mon Nov 02 22:37:19 +0000 2015	i want tits https://t.co/yXsuL3wcgT	ny | 17			luxurytravel	1		
					perfection	1		
					Recruiting	1		
					Melville	1		
					xAdHalloweenContest	1		
					Education	1		
					VirtualNYCity	1		
					HAUPPAUGE	1		
					LiveLongAndProsper	1		
					halloweencostume	1		
					natesmediaballs	1		
					TheGhostShip	1		
Mon Nov 02 22:37:19 +0000 2015	"@OnlyPartlySane omg ur back on twitter, yes! lol"	United States			OfficialClockHuggerz	1		
					OCHRadio	1		
					NiteLineRadio	1		
					bronxdirtyDAdeal	1		
Mon Nov 02 22:37:23 +0000 2015	when you're last non-union checkout... because sharkey didn't see your voucher under the voucher of… https://t.co/CZLk1pIxey	"New York, NY"			LongBranch	1		
					BlackLivesMatter	1		
					nojoke	1		
					Bayshore	1		
Mon Nov 02 22:37:23 +0000 2015	Who's better	"Niagara Falls, NY"			soccer	1		
					LOL	1		
					creativemornings	1		
					marijuana	1		
Mon Nov 02 22:37:24 +0000 2015	"May I say, #surreal. Very surreal. #nightsky #sunset #lateafternoon #afternooncommute #PMcommute #NYC… https://t.co/SBX9lCPnPZ"	"Mineola, NY"	surreal		weed	1		
			nightsky		rollingpapers	1		
