created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:47:30 +0000 2015	@mikeyswah wells fargo app right ??	127						
								
								
								
Mon Nov 02 22:47:31 +0000 2015	Excited to meet w/ our Group tonight at our house for #hopeforall wk3!!! Casa de Brantley 6pm. https://t.co/bDkhopWgIJ	null	hopeforall					
								
								
								
Mon Nov 02 22:47:34 +0000 2015	Exam day and the guy chewing gum behind me sounds like a yak with a respiratory problem eating peanut butter. #closeyourmouth	"Jacksonville Beach, FL"	closeyourmouth					
								
								
								
Mon Nov 02 22:47:36 +0000 2015	day 79. the heat has not stopped. it is No(where near cold)vember. it is… https://t.co/bRgCb1tESn	CT ?? FL						
								
								
								
Mon Nov 02 22:47:36 +0000 2015	"I'm at Disney's Hollywood Studios - @waltdisneyworld in Lake Buena Vista, FL https://t.co/MxmbNflYLO"	"Orlando, FL"						
								
								
								
Mon Nov 02 22:47:40 +0000 2015	@AnatCastle @pintsize73 @vitali_giuseppe bonita postal amigo	"Florida, USA"						
								
								
								
Mon Nov 02 22:47:40 +0000 2015	Sometimes it's better to listen then to speak. #aintallaboutyou	null	aintallaboutyou					
								
								
								
Mon Nov 02 22:47:40 +0000 2015	"Pa la Yuma,  A Miami,  A singar #spiritweek #day1 https://t.co/DoTUzCeJ5e"	MIA	spiritweek					
			day1					
								
								
								
								
								
								
Mon Nov 02 22:47:44 +0000 2015	im already tooorn	louisandharry						
								
								
								
Mon Nov 02 22:47:44 +0000 2015	One of the greatest Mondays I've had in a while. ??	"Florida, USA"						
								
								
								
Mon Nov 02 22:47:48 +0000 2015	ITS FUCKING LIT  https://t.co/E55592KYsl	somewhere in miami 						
								
								
								
Mon Nov 02 22:47:49 +0000 2015	Fuck 12? https://t.co/IjEd4bdVBm	Jacksonville FL						
								
								
								
								
								
Mon Nov 02 22:47:51 +0000 2015	@Cammyiceee cuz Ima take my leave Christmas for 2 weeks	null						
								
								
								
Mon Nov 02 22:47:53 +0000 2015	"Back for more #ChristmasLights (@ Osborne Family Spectacle of Dancing Lights in Bay Lake, FL) https://t.co/4DDv90op3I"	Magical Paradise	ChristmasLights					
								
								
								
Mon Nov 02 22:47:55 +0000 2015	seemed to be caught up in too much lately..	null						
								
								
								
Mon Nov 02 22:47:55 +0000 2015	@sexyAlex90 :P And here I was trying to stalk you on there XD jk	"Tampa, Florida"						
								
								
								
Mon Nov 02 22:47:55 +0000 2015	@wheelerchristi2 thank you - he's not acting particularly cute right now...feel free to borrow him ;)	Pluto's Moon						
								
								
								
Mon Nov 02 22:47:57 +0000 2015	@LiciniPatrizia @FerratoPaola @pierluigi6801 @DucoMarisa @ElviraCori feliz noche	"Florida, USA"						
								
								
								
								
Mon Nov 02 22:48:02 +0000 2015	Thank you baby love you to ???? https://t.co/MbJWujoYIZ	Killadelphia						
								
								
								
Mon Nov 02 22:48:03 +0000 2015	look man why am I following so many people this is why I don't give anyone my acc info	sc: nicoleapatino						
								
								
								
