created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:12:04 +0000 2015,Tbh he's cute  https://t.co/ljjMtYcqTs,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:04 +0000 2015,"3rd time! (@ Osborne Family Spectacle of Dancing Lights in Bay Lake, FL) https://t.co/fgA9Gg7Ru0",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:05 +0000 2015,Snap meeeee https://t.co/TJT4gfyCtr,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:05 +0000 2015,@KiddRyze you drunk man 😂,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:06 +0000 2015,Just make the damn game! https://t.co/4X2wKlRELU,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:06 +0000 2015,"""We crave what we cant attain, But we disrespect what we cant escape..""",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:08 +0000 2015,So annoyed.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:10 +0000 2015,I hate everyone. G od,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:12 +0000 2015,RAID HIM WITH ME https://t.co/eO9Fn1l9Hx,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:12 +0000 2015,Beach bums #sobe #family #workandplay #cabanna #miami #love @ South Beach Miami https://t.co/PTc7QXP4bJ,sobe,,
,,family,,
,,workandplay,,
,,cabanna,,
,,miami,,
,,love,,
Mon Nov 09 21:12:12 +0000 2015,Watching minions. If it were a different movie id enjoy it a bit more but damn. https://t.co/HTBlgjEKEp,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:13 +0000 2015,Love is overrated -shwayze,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:20 +0000 2015,I like my food soaked in butter,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:21 +0000 2015,@nflnetwork #Vikings,Vikings,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:27 +0000 2015,Just the #Mcm #Jamal 😍 https://t.co/29uORk7orE,Mcm,,
,,Jamal,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:28 +0000 2015,Safe to say my cuz felt the #love on her 25th #birthday. Hope it was a great one @latinafoodiechr! @… https://t.co/xDwSXAYHk4,love,,
,,birthday,,
,,,,
,,,,
Mon Nov 09 21:12:31 +0000 2015,nobody nobodaye,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:34 +0000 2015,TBH NGL  https://t.co/IuhZ2uT8aJ,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:38 +0000 2015,This Week Playing At @bfinx w/ @noirmusic on Thursday by @minimaxevents and un_mute and Saturday At… https://t.co/OdLFm8J9gR,,,
,,,,
,,,,
,,,,
