created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:23:37 +0000 2015,@NoraSA__ بشنو حلمتي ؟,,,
,,,hiring,14
,,,ShermanOaks,1
,,,Sales,2
Mon Nov 09 21:23:37 +0000 2015,"Want to work at CORT Business Services Corp.? We're #hiring in #ShermanOaks, CA! Click for details: https://t.co/RgjF85m3V7 #Sales #Job",hiring,Job,17
,,ShermanOaks,Monday,1
,,Sales,Hospitality,1
,,Job,LosAngeles,8
Mon Nov 09 21:23:37 +0000 2015,@Coochiekillaaa there it go b,,Jobs,7
,,,Hiring,14
,,,CareerArc,8
,,,workbitch,1
Mon Nov 09 21:23:39 +0000 2015,Hey tonight I'm @farboddanesh Biggest #Monday party in Hollywood!! Hosted by Rapper @dejloaf !!!… https://t.co/AWwZHuV05W,Monday,commercials,1
,,,setlife,1
,,,IMATTHEREAL,1
,,,thereal,1
Mon Nov 09 21:23:39 +0000 2015,"#Hospitality #Job in #LosAngeles, CA: Bartender at Maggiano's https://t.co/aZVCz4MlJk #Jobs #Hiring #CareerArc",Hospitality,therealdaytime,1
,,Job,ConsentDecree,1
,,LosAngeles,AMAskincare,5
,,Jobs,mcm,2
,,Hiring,contradictions,1
,,CareerArc,LAMarathon,1
Mon Nov 09 21:23:41 +0000 2015,"Drove up to la for a shoot today, then back to Santa Barbara tonight. Can't say i don't  work hard. #workbitch #commercials #setlife",workbitch,Runforhope,1
,,commercials,ladreamcenter,1
,,setlife,judgeme,1
,,,shesfunny,1
Mon Nov 09 21:23:41 +0000 2015,It's always been that way,,idgafwhatyouthink,1
,,,idefkeepupwiththekardashians,1
,,,Trump,1
,,,babyNathaniel,1
Mon Nov 09 21:23:41 +0000 2015,christopher_at_the_real evan_at_the_real thank you!  #IMATTHEREAL #thereal #therealdaytime… https://t.co/oMdQTX3s5R,IMATTHEREAL,beingamom,1
,,thereal,babyboy,1
,,therealdaytime,newmomquestion,1
,,,MondayWonders,1
Mon Nov 09 21:23:42 +0000 2015,@bmi Songwriter & Publisher friends: sign this letter to DOJ advocating #ConsentDecree reviews in our favor.  https://t.co/2lWv7l5vb1,ConsentDecree,DanielJohnston,1
,,,ThankYou,1
,,,NYC,1
,,,TheDailyShow,1
Mon Nov 09 21:23:42 +0000 2015,"Halleck Vineyard wine tasting at AMA Skincare’s Art, Wine and Adventure VIP Event. #AMAskincare… https://t.co/cDpiOfNHr6",AMAskincare,magiccastle,1
,,,hollywood,1
,,,beautiful,1
,,,cousin,1
Mon Nov 09 21:23:44 +0000 2015,A good read about how drugs affect your sexual encounters - https://t.co/3WY77UyFzQ,,Nursing,3
,,,job,17
,,,NowPlaying,1
,,,YupYup,1
Mon Nov 09 21:23:44 +0000 2015,my luck only got worse😓,,digitallife,1
,,,FutureEdu,2
,,,breakfast,1
,,,favoritemealoftheday,1
Mon Nov 09 21:23:46 +0000 2015,What's a #mcm my single ass will never know 🤔,mcm,melrose,1
,,,losangeles,8
,,,florentine,1
,,,benedict,1
Mon Nov 09 21:23:46 +0000 2015,I was that kid in school who gave everyone head lice,,BabyHitler,1
,,,VariousUSCities,2
,,,Legal,2
,,,thirdeyeblind,1
Mon Nov 09 21:23:47 +0000 2015,Bruh this is goals af!! https://t.co/clJOjunxte,,ComeOn,1
,,,SalesStack15,1
,,,cover,1
,,,photographers,1
,,,fashion,1
,,,magazines,1
Mon Nov 09 21:23:47 +0000 2015,We live in a world full of #contradictions,contradictions,kellyfajack,1
,,,portfolio,1
,,,Dopliving,1
,,,AskCamAndNash,1
Mon Nov 09 21:23:48 +0000 2015,Just run away love,,LongBeach,1
,,,Healthcare,2
,,,Marketing,1
,,,candystore,1
Mon Nov 09 21:23:49 +0000 2015,"Lmfao everytime i see candy she asks ""so how many niggas you talking too?""😂",,fashionsquaremall,1
,,,glutenfree,1
,,,starburst,1
,,,sugarfree,1
Mon Nov 09 21:23:51 +0000 2015,10.2 mile run today training for the #LAMarathon all for a great cause check out why! https://t.co/hCGHhkgfKX #Runforhope #ladreamcenter,LAMarathon,agave,1
,,Runforhope,augustgetty,1
,,ladreamcenter,augustgettyatelier,1
,,,gettygirl,1
Mon Nov 09 21:23:54 +0000 2015,kota look left i got right,,weare360,1
,,,videonomics,1
,,,stoked,1
,,,bacara,1
Mon Nov 09 21:23:54 +0000 2015,.@RealD3D sold to Rizvi Traverse for $551 million https://t.co/clTj4DOWtB,,MLRT,1
,,,wtf,1
,,,Thebabydo,1
,,,singer,1
Mon Nov 09 21:23:55 +0000 2015,yes I am reading this!!!! #judgeme #shesfunny #idgafwhatyouthink  #idefkeepupwiththekardashians https://t.co/PAHXuVXigW,judgeme,WarOnWomen,1
,,shesfunny,ALDUBTheLetter,2
,,idgafwhatyouthink,AlbertPujols,1
,,idefkeepupwiththekardashians,GoBlue,1
Mon Nov 09 21:23:56 +0000 2015,@ForQ2 @russia890 @WarmNewt @UtopiasTaint @lonepatrick @ZaffodB That's what he means when he tells us he will be a better negotiator.#Trump,Trump,RealShow,1
,,,bestmoment,1
,,,whatatimetobealive,1
,,,Route15,1
,,,mrherget,1
,,,oilpainting,1
Mon Nov 09 21:23:57 +0000 2015,Is it possible for infants to snore? I think my baby boys snores... 😱 #babyNathaniel #beingamom #babyboy #newmomquestion #MondayWonders,babyNathaniel,la,1
,,beingamom,IT,1
,,babyboy,Retail,2
,,newmomquestion,SimiValley,1
,,MondayWonders,flyeaglesfly,1
Mon Nov 09 21:23:57 +0000 2015,is it 6th period yet,,wewillmissyouonsundays,1
,,,HAPPYLEODAY,5
,,,tb,1
