created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:06:31 +0000 2015,@i_lyk_turtlz here you go https://t.co/2SaxFdisAL,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:31 +0000 2015,my moma bout then burnt the house down.😭,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:33 +0000 2015,@gbullard That was probably a Monday.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:33 +0000 2015,"Real Estate Services Assistant - CBRE: (#Chicago, IL) https://t.co/9Gv2JQzSlo #RealEstate #Job #Jobs #Hiring",Chicago,,
,,RealEstate,,
,,Job,,
,,Jobs,,
,,Hiring,,
Mon Nov 09 21:06:33 +0000 2015,My phone is tweakinggggg. Friday where ya at?,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:33 +0000 2015,@kashbagztv have you seen @KingL in his latest video https://t.co/hyKf0TJtXK shot by video god @DADAcreative #chicago #kinglouie,chicago,,
,,kinglouie,,
,,,,
,,,,
Mon Nov 09 21:06:37 +0000 2015,@danielsahyounie  follow me back ! 😭 win @luke_brooks and be my 4/5 x29❤️#skipfollowmeyoudick,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:37 +0000 2015,@Shel_Harbor your dad is the cutest,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:38 +0000 2015,I left my phone to charge in the breakroom and some asshole spills water all over it and doesn't clean it up.  Thx.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:39 +0000 2015,@Starbucks #hailsatan #IStandWithStarbucks https://t.co/1k1xWlaooB,hailsatan,,
,,IStandWithStarbucks,,
,,,,
,,,,
Mon Nov 09 21:06:40 +0000 2015,@Number1Push have you seen @KingL in his latest video https://t.co/hyKf0TJtXK shot by video god @DADAcreative #chicago #kinglouie,chicago,,
,,kinglouie,,
,,,,
,,,,
Mon Nov 09 21:06:42 +0000 2015,@adrianovaroli you mean my twitter profile?,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:43 +0000 2015,#twistout on my new guest. #natural #salonpressure by #nadling @ Justin's Salon Studio https://t.co/16FoYr2sUu,twistout,,
,,natural,,
,,salonpressure,,
,,nadling,,
Mon Nov 09 21:06:43 +0000 2015,@GHTweeterer I thought you called Sam a whore?? #real life vs reel life #prozak #xanax,real,,
,,prozak,,
,,xanax,,
,,,,
Mon Nov 09 21:06:43 +0000 2015,Me and mines str8👨‍👩‍👦‍👦💯,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:44 +0000 2015,I refuse to live my life thinking I'm  suppose to be a prude or only being classy.Yea that shit might look cool but them bitches miserable,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:45 +0000 2015,@danielsahyounie  follow me back ! 😭 win @luke_brooks and be my 4/5 x30 ❤️#skipfollowmeyoudick,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:45 +0000 2015,@StudentPulse came across this article today:In Search of Manhood: The Black Male's Struggle for Identity and Power. Keep up the great work!,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:47 +0000 2015,@aidinsedghi :)),,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:48 +0000 2015,"Can you recommend anyone for this #Manufacturing #job? https://t.co/FcMqNL6bEh #Chicago, IL #Hiring",Manufacturing,,
,,job,,
,,Chicago,,
,,Hiring,,
Mon Nov 09 21:06:49 +0000 2015,"Happy Birthday🎉 @HBrzustewicz miss ya, have a good one😄",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:48 +0000 2015,https://t.co/B3dLOO1AEF https://t.co/wzbpMx43gz,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:50 +0000 2015,@thomashsain have you seen @KingL in his latest video https://t.co/hyKf0TJtXK shot by video god @DADAcreative #chicago #kinglouie,chicago,,
,,kinglouie,,
,,,,
,,,,
Mon Nov 09 21:06:51 +0000 2015,Ainn gone get no better all this damn rain and it's Cole,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:51 +0000 2015,"You need a thug in ya life, them bustas ain't lovin ya right",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:51 +0000 2015,Sameee. And what ever i think of be lame asl! Lol so I avoid real roasting situations.  https://t.co/Fsm5YuebE5,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:52 +0000 2015,"I'm sitting down, enjoying my lunch and this comes on tv. C'mon SNL! #fucktrump2016 #allaboutratings… https://t.co/nMAmFfIQHe",fucktrump2016,,
,,allaboutratings,,
,,,,
,,,,
Mon Nov 09 21:06:54 +0000 2015,Oh lord https://t.co/GVUgBTZlgw,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:54 +0000 2015,@danielsahyounie  follow me back ! 😭 win @luke_brooks and be my 4/5 x31 ❤️#skipfollowmeyoudick,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:54 +0000 2015,"Imagine having a song stuck in your head, one voice creating new thoughts, and then another voice being super critical of the prior voice.",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:55 +0000 2015,@RapMusicBuzz have you seen @KingL in his latest video https://t.co/hyKf0TJtXK shot by video god @DADAcreative #chicago #kinglouie,chicago,,
,,kinglouie,,
,,,,
,,,,
Mon Nov 09 21:06:55 +0000 2015,"that's illegal tho, hugh jackman",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:56 +0000 2015,"Waiting for job response emails and only getting yahoo, Cosmo, and Jillian Michaels fitness updates. #hireme",hireme,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:57 +0000 2015,I know I'm gonna be smiling from ear to ear all night. But that's why today is a bad day.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:58 +0000 2015,People so fake n rude,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:06:59 +0000 2015,@Carlcjsmith @_HolySmokes they just paid her a couple million for that soooo pretty sure she still winning.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:07:00 +0000 2015,"I'm at Chicago Midway International Airport (MDW) in Chicago, IL https://t.co/nrKcrwOulQ",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:07:01 +0000 2015,@danielsahyounie  follow me back ! 😭 win @luke_brooks and be my 4/5 x32 ❤️#skipfollowmeyoudick,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:07:03 +0000 2015,@calabro13sports dont hold breath Players Association probably reduce it so he will be able to play sunday,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:07:03 +0000 2015,Ainn gone get no better all this damn rain and it's Cold,,,
,,,,
,,,,
,,,,
