created_at,text,entities__hashtags__text,entities__hashtags__text,
Fri Nov 06 21:13:52 +0000 2015,#PraiseGod  Thank You Lord for d blessing & fragrance of d pine upon my life. https://t.co/B7ALx8cZE5,PraiseGod,,
,,,PraiseGod,1
,,,hair,1
,,,hairbydionmoore,1
Fri Nov 06 21:13:53 +0000 2015,More or less I might be leaving mid way through the school year but idgaf bc I want nothing to do with this area ever again.,,celebritystylist,1
,,,NewYork,8
,,,GOPHypocrisy,1
,,,ECACs,2
Fri Nov 06 21:13:53 +0000 2015,my theory: Diana is one of the Myrmidons,,Hvlm,1
,,,madeInNy,1
,,,token,1
,,,goldTips,1
Fri Nov 06 21:13:53 +0000 2015,@NBAGameface u said they have no banners. I'm merely pointing out that they do have banners. Once a champ. Always a champion.,,PlayClothes,1
,,,fallout4,1
,,,livingaboard,1
,,,germansnoozer,1
Fri Nov 06 21:13:53 +0000 2015,This place is trouble. 🌵🌵🌿🌿 @ Green Fingers New York https://t.co/o0WkHMq0Lh,,BallIsLife,1
,,,amazing,1
,,,Zumba,1
,,,choreography,1
Fri Nov 06 21:13:53 +0000 2015,oomf is baddd,,Steps,1
,,,dance,1
,,,studio,1
,,,ZumbaSteps,1
Fri Nov 06 21:13:54 +0000 2015,@liziswaydope @NickFolarin don't have any more left sold out a while back lol,,Danbury,1
,,,Healthcare,2
,,,Job,18
,,,Jobs,11
Fri Nov 06 21:13:54 +0000 2015,@Olgamore29 @Angie305_ @enrique305 @kaansenol2 @music_luv48 @samahali70 @rique3o5 @SomenHalder6 @eiofficialpy https://t.co/kpTEMRBzBE,,Hiring,16
,,,CareerArc,7
,,,climatechange,1
,,,Huntington,1
,,,Sales,1
,,,starbucks,1
,,,icecoffee,1
,,,NewYorkcity,1
,,,comics,1
Fri Nov 06 21:13:54 +0000 2015,@talkwordy also did you get that package of illegal drugs I sent you.,,geeklife,1
,,,nerdboner,1
,,,RockCenterXMAS,1
,,,NYC,6
Fri Nov 06 21:13:54 +0000 2015,A marriage like the one in neighbors would be pretty dope,,Vacation,1
,,,SmokeyMountains,1
,,,TEDxSBU,2
,,,IT,1
Fri Nov 06 21:13:54 +0000 2015,@TBVines @maddyykelly_ cutest thing ever,,job,18
,,,Giants,1
,,,SaluteToService,1
,,,chelsea,1
Fri Nov 06 21:13:55 +0000 2015,@EricMcClureBK @spollck @nicolegelinas Easier to tackle red-light running cyclists than big guys in darkened SUVs that might conceal guns.,,beer,1
,,,blessed,1
,,,Clerical,2
,,,CustomerService,1
Fri Nov 06 21:13:56 +0000 2015,@lancebass @bellanycmag shoot #hair HairByMe for @angelodavidhair #hairbydionmoore #celebritystylist… https://t.co/72bP3E3pqO,hair,nowhiring,1
,,hairbydionmoore,EastWindsor,1
,,celebritystylist,mirandi,1
,,,njeaconv,1
Fri Nov 06 21:13:56 +0000 2015,It's almost been a year that I found BVB and I feel like I've been a fan no a part of the BVB army for years,,njea,1
,,,HippGrant,1
,,,GregHardy,1
,,,JerryJones,1
Fri Nov 06 21:13:58 +0000 2015,@karnasonofsun in ZE3,,FireGoodell,1
,,,BeatPeddie,1
,,,hiring,16
,,,Finance,1
Fri Nov 06 21:13:58 +0000 2015,OOMF on Twitter/SC it's not good/cute putting yourself out here as hoe😑 Me right now not tying to expose ....... https://t.co/PUpY4y8nea,,RHMRJobs,1
,,,NEWYORK,8
,,,ALDUBPerformsTogether,3
,,,a6000,1
Fri Nov 06 21:13:58 +0000 2015,@_Nadeann @giveawayviva lmfaooo,,home,1
,,,harlem,1
,,,nyc,6
,,,heathantonio,1
Fri Nov 06 21:14:00 +0000 2015,"Would suggest WAPO climo people, read David Ludlams books. Established metric of landfalling hurricanes goes well back into 1800s!",,vintage,1
,,,bw,1
,,,ticketmaster,1
,,,artparty,1
Fri Nov 06 21:14:01 +0000 2015,Missing my bffl😩😥❤️ @JessKrumwiede,,nyc2015,1
,,,fatherdaughter,1
,,,Grounded,1
,,,JustFaith,1
Fri Nov 06 21:14:01 +0000 2015,Things got pretty nerdy... 📺 #NewYork 󾓦 @ The Late Show with Stephen Colbert https://t.co/ByJqFMHYkm,NewYork,interiordesign,1
,,,ApolloCircleBenefit,2
,,,Rockefeller,1
,,,ChristmasTree,1
Fri Nov 06 21:14:04 +0000 2015,Hit em with the Dirk leg kick for fun😂😂,,I88,1
,,,Accounting,4
,,,HAUPPAUGE,1
,,,Manhattan,2
Fri Nov 06 21:14:04 +0000 2015,@nowthisnews END the suicide squads against citizens!!!! NOW,,Hospitality,2
,,,parttime,1
,,,Veterans,1
,,,Rye,1
Fri Nov 06 21:14:05 +0000 2015,Truuu https://t.co/vtvTp3sEAs,,souschef,1
,,,Hillary,1
,,,Benghazi,1
,,,leftist,1
Fri Nov 06 21:14:05 +0000 2015,"@OnPirateSat Imagine for half of a second if it were a Dem pulling the same sh*t... oh, the #GOPHypocrisy ...",GOPHypocrisy,MSM,1
,,,Conservative,1
,,,tcot,1
,,,tgdn,1
Fri Nov 06 21:14:05 +0000 2015,.@Sampraveen1122 preps for #ECACs by nomming on a Charlestown Chew -- which was promptly confiscated by coaching authorities.,ECACs,USA,1
,,,greenjobs,1
,,,Copenhagen,1
,,,NaNoWriMo2015,1
Fri Nov 06 21:14:05 +0000 2015,aw Shannon my fave she's so pretty smh I'm jealous https://t.co/RD6cnPEg9K,,amwriting,1
,,,gocards,1
,,,apollocirclebenefit,2
,,,coolglobes,1
Fri Nov 06 21:14:06 +0000 2015,#Hvlm is #madeInNy #token matching the #goldTips on the sweatPants #PlayClothes.... Shop… https://t.co/cYvtym9KlZ,Hvlm,KNOWTomorrow,1
,,madeInNy,BatteryPlace,1
,,token,Patriots,1
,,goldTips,codeforjournos,1
,,PlayClothes,irebootcamp,1
Fri Nov 06 21:14:07 +0000 2015,@ClaudiaFerri13 @Broken_Paws_SA @_AnimalAdvocate @rextyler2 What do you see as a problem in this pic?,,MTVHits,1
,,,NewRochelle,1
,,,traffic,1
,,,Beatles4Ever,1
Fri Nov 06 21:14:08 +0000 2015,Pain gave me understanding,,whosworse,1
,,,iwasrapping,1
,,,Retail,2
,,,Yonkers,1
Fri Nov 06 21:14:09 +0000 2015,"I can't feel my face when I'm with you, but I love it. @ New York, New York https://t.co/3eKZz2qNgQ",,Pats,1
,,,Art,1
,,,TheCreativeGroup,1
,,,Woodbridge,1
Fri Nov 06 21:14:09 +0000 2015,@kennewville @RoyalVince Seriously...who gets married the weekend of #fallout4 - COME ON!!!!,fallout4,shape,1
,,,buildings,1
,,,skyline,1
,,,summer,2
Fri Nov 06 21:14:10 +0000 2015,"@tebowfoundation @TimTebow You go, Tim. God Bless to you and Blaine. Our prayers are with her.",,sunset,2
,,,BeerMenus,1
,,,NAPW,2
,,,HG_SS,1
Fri Nov 06 21:14:10 +0000 2015,A NEW StarWars trailer!  https://t.co/LGU2Db2QkJ,,Sunset,2
,,,TB,1
,,,Summer,2
,,,centralpark,1
Fri Nov 06 21:14:11 +0000 2015,Missed home,,bestcompany,1
,,,sustainability,1
,,,innovation,1
,,,fuckcancer,1
Fri Nov 06 21:14:12 +0000 2015,Thank you @RobertColapiet1 @NASBO @dpforand @zwtraining @iamscottpage @mteverlist . Have a great day!,,RHFAJobs,1
,,,NBA,2
,,,fbf,2
,,,Artist,1
,,,contemporaryart,1
,,,CASA,1
Fri Nov 06 21:14:12 +0000 2015,"Just a side benefit of #livingaboard when you find a clean little hotel room, it feels luxurious and… https://t.co/gsxWeqTXXa",livingaboard,video,1
,,,vine,1
,,,FF,1
,,,NFL,2
Fri Nov 06 21:14:13 +0000 2015,@TinaCervasio @fox5ny @ChristinaParkTV Looking forward to it @TinaCervasio!👏🏽👍🏽😎,,Tennis,2
,,,truecincinnatian,1
,,,WFT,1
,,,payments,1
Fri Nov 06 21:14:13 +0000 2015,Gracia a Óptica  Caroni por el Lente para mi Cámara Kodak az251 en Alta @ Citi Field https://t.co/P07PciD4YW,,myWharton,1
,,,CAAChamps,1
,,,DoverPlains,1
,,,Manhasset,1
Fri Nov 06 21:14:14 +0000 2015,"🏙 ""when i saw you i fell in love, and you smiled because you knew."" ☄ @ DUMBO, Brooklyn Bridge Water… https://t.co/shGEJwJMQV",,doublewin,1
,,,thepeanutsmovie,1
,,,I278,2
,,,lasthalloweenpicotheseason,1
Fri Nov 06 21:14:14 +0000 2015,@DRAYAFACE STOP POPN GUM APPLE CAKE & 7 UP CAKE BETTER,,halloween,1
,,,costumes,1
,,,fun,1
,,,friends,1
Fri Nov 06 21:14:15 +0000 2015,Obama Keystone XL boru hatti projesini veto etti buyutulecek mesele degil dedi savunanlarada karsi cikanlarada ayari verdi,,sincehighschool,1
,,,BVBmail,1
,,,boxersnyc,1
,,,Redskins,2
Fri Nov 06 21:14:16 +0000 2015,"Man, this guy sucks as Navigator! A few chicken nuggets and he's down with the itis. #germansnoozer… https://t.co/9fkbi4kxJe",germansnoozer,Albany,1
,,,tcsnycmarathon,1
,,,mymedalandme,1
,,,runner,1
Fri Nov 06 21:14:16 +0000 2015,"#BallIsLife @ New York, New York https://t.co/b9enJ1idFE",BallIsLife,runforlife,1
,,,runmamarun,1
,,,Fakishas21st,1
,,,didyouknowgaming,1
Fri Nov 06 21:14:17 +0000 2015,Very poignant words @911museum https://t.co/PP9i7BKkBt,,jamming,1
,,,Truth,1
,,,foragersnyc,1
,,,southpark,1
Fri Nov 06 21:14:18 +0000 2015,This is my favorite part in this #amazing #Zumba #choreography #Steps #dance #studio #ZumbaSteps… https://t.co/KS6kPK24Tv,amazing,seaport,1
,,Zumba,youregroundedmister,1
,,choreography,butteritup,1
,,Steps,,
,,dance,,
,,studio,,
,,ZumbaSteps,,
Fri Nov 06 21:14:20 +0000 2015,Be grateful-Be GREAT and FULL.,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:20 +0000 2015,"Want to work in #Danbury, CT? View our latest opening: https://t.co/MKDktTIo89 #Healthcare #Job #Jobs #Hiring #CareerArc",Danbury,,
,,Healthcare,,
,,Job,,
,,Jobs,,
,,Hiring,,
,,CareerArc,,
Fri Nov 06 21:14:21 +0000 2015,@scdp @nancyhighlands7 https://t.co/UcRbaL20jK,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:21 +0000 2015,Two @UNDP projects receive $35.9m from @GCF_News to address urgent #climatechange adaptation needs https://t.co/TYRnofOl7p @HelenClarkUNDP,climatechange,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:21 +0000 2015,"Delicately fruity,  floral,  nice mouthfee... (W3 Imperial Hibiscus Wit With Orange And Coriander) https://t.co/Otr549y2JS",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:22 +0000 2015,Why is this 5 year old boy walking around Hamilton Hall bare foot,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:22 +0000 2015,Why must my trains always have delays,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:22 +0000 2015,when your group to walk around Time Square is from Wells😂 good luck cape football tonight against Wells tonight❤️ capes still gonna win tho,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:24 +0000 2015,"Want to work in #Huntington, NY? View our latest opening: https://t.co/Fy6Qx3hlDY #Sales #Job #Jobs #Hiring #CareerArc",Huntington,,
,,Sales,,
,,Job,,
,,Jobs,,
,,Hiring,,
,,CareerArc,,
Fri Nov 06 21:14:24 +0000 2015,A mi me caías bien 😌,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:25 +0000 2015,hahahahah I fuckin hate people.,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:26 +0000 2015,#starbucks @starbucks #icecoffee @ Rockefeller Center https://t.co/WxrYywIdsH,starbucks,,
,,icecoffee,,
,,,,
,,,,
Fri Nov 06 21:14:26 +0000 2015,"People will say that they are real. But cannot word to the person that they are dating, "" I want my cake & would to eat it too. """,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:26 +0000 2015,414 pm https://t.co/h5SVUk3Lzz,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:27 +0000 2015,"@SenSanders that still doesn't clarify what it means...have Saab, Volvo, IKEA historically thrived & been adored in Scandinavian capitalism?",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:27 +0000 2015,#Thebestviewever#👌 #NewYorkcity @ Empirestate Building https://t.co/TWWe5T9u7C,NewYorkcity,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:28 +0000 2015,@TBVines @maddyykelly_ this is something wed dare gracie to do,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:29 +0000 2015,Check me out on periscope right now yall!! Rehearsing with the band today! @patinamiller,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:30 +0000 2015,Yo bestcomicsny you guys rock! Time to start reading!!! #comics #geeklife #nerdboner @imagecomics… https://t.co/FFOGKBbsxr,comics,,
,,geeklife,,
,,nerdboner,,
,,,,
Fri Nov 06 21:14:31 +0000 2015,@JoeNBC @justgrateful @TPM Carson lies and beliefs just plain scary because he so quietly believes them!,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:31 +0000 2015,@reaganpal157 @Po_st DEPORT....THAT!!!!ARROGANT SMUGASSED BITCHES!!!!,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:34 +0000 2015,y'all already know ugh love https://t.co/CdbiyFFevb,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:35 +0000 2015,I've only taken a bus here three times but each time they have not asked for payment. Maybe it's time to risk it...,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:35 +0000 2015,I would eat mad chocolate pringles.,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:35 +0000 2015,I can't believe is that time of the year!! #RockCenterXMAS (plus the ice rink!) https://t.co/k2QDvWLzc2,RockCenterXMAS,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:36 +0000 2015,"I'm at Bronx Martial Arts Academy - @bxmartialarts in Bronx, NY https://t.co/VqMiYa10ar",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:36 +0000 2015,@le0naxo_  https://t.co/ltwwutQEt6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:36 +0000 2015,Girls just want to love and cuddle,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:37 +0000 2015,Fake ass galore in Harlem,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:38 +0000 2015,"@ClaudiaFerri13 @Broken_Paws_SA @_AnimalAdvocate @rextyler2 No, I cite science AND care over misinformed ""compassion.""",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:38 +0000 2015,"👀 U nxt week, #NYC 🌇🚇🌃 #Vacation #SmokeyMountains 🏔🛣🏞 @ New York, New York https://t.co/xKPRbkwRhP",NYC,,
,,Vacation,,
,,SmokeyMountains,,
,,,,
Fri Nov 06 21:14:39 +0000 2015,I ALWAYS THINK OF GOOD JAPANESE PUNS BUT HAVE NO ONE TO SHARE THEM WITH,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:39 +0000 2015,https://t.co/ODjJ0XZnbX,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:39 +0000 2015,Aaaaand you lost me.,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:39 +0000 2015,@NBAGameface nobody hating. It's not hating pointing out facts. Lol. U a dumb fan is all.,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:40 +0000 2015,@djvolvox thank you @matoswk75! 😘,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:40 +0000 2015,whole 8th of codeine,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:41 +0000 2015,@clydetheslyde @TeaPainUSA OK u 2 again.. Great..funny,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:41 +0000 2015,Been bumpin Tiller nonstop for 2 weeks straight... 🎶🔥,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:43 +0000 2015,"""I believe people come into our lives for a reason... just be open and let them in."" - Alumna @DebraAlfarone #TEDxSBU",TEDxSBU,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:43 +0000 2015,"Hailey Has Something To Tell Everyone Who Complains, But Won't Do… https://t.co/845hG9SUoi",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:44 +0000 2015,@thatsthereality lol i need to send you a jezebel article that is going to make you scream.,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:44 +0000 2015,EVERYONE KEEPS THINKING IM 21,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:45 +0000 2015,"As the final day of the final module of the year comes to a close, we find ourselves immersed in the… https://t.co/YCIWpW9NJ3",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:45 +0000 2015,@Barry_tommys Breh I agree,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:46 +0000 2015,prays that Snake will be ok...,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:47 +0000 2015,Día de playa porque 23 grados. @ Coney Island Beach https://t.co/wEDgPCp8yx,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:47 +0000 2015,"Can you recommend anyone for this #IT #job? https://t.co/o6RodGg7M6 #NewYork, NY #Hiring #CareerArc",IT,,
,,job,,
,,NewYork,,
,,Hiring,,
,,CareerArc,,
Fri Nov 06 21:14:47 +0000 2015,"If you’re in Chicago and are interested in a career in tech, take the first step by joining me at this workshop! https://t.co/fHtxkr5P2V",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:47 +0000 2015,#Giants coach Tom Coughlin is a nominee for @USAA #SaluteToService Award https://t.co/fc4qcuvHkh,Giants,,
,,SaluteToService,,
,,,,
,,,,
Fri Nov 06 21:14:50 +0000 2015,S/o @DJPHD @BoogieBlack1 @DJLGee @DJIKELOVE1 @DJKoolhand @MIXKING155 @DjVeeDro_Bison @DjBando1k,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:50 +0000 2015,@TheJakeSchmidt that's doesn't rhyme in all the right places,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:51 +0000 2015,Have a habit of not watching the stories on my snapchat but check who views mine,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:50 +0000 2015,Wanna know what I taste like? You now can!! ENJOY ME! 😘 https://t.co/LUiBIB7WZV,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:51 +0000 2015,"People, school, family, everything just sucks here",,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:51 +0000 2015,the fact that my day has managed to be consistently shitty since 6 fucking am blows my mind. just fuck me up @universe,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:14:52 +0000 2015,Wow cool super fun an cool💉👌🏼👌🏼😭😭😭😭 https://t.co/osbQuy5eyy,,,
,,,,
,,,,
,,,,
